patch,category,id,name,wpa,sample_size
16.1,Keystone,8369,First Strike,-1.6833,8842
16.1,Keystone,8010,Conqueror,-2.693,385
16.1,Keystone,8021,Fleet Footwork,-4.8906,243
16.1,Keystone,8005,Press the Attack,0.184,358840
16.1,Keystone,8008,Lethal Tempo,-1.7263,1881
16.1,Keystone,8128,Dark Harvest,-10.1481,142
16.1,Keystone,8112,Electrocute,-4.8959,8261
16.1,Spell,1,Cleanse,-0.5766,24779
16.1,Spell,3,Exhaust,0.3997,10705
16.1,Spell,4,Flash,0.0007,378908
16.1,Spell,6,Ghost,-1.3774,265
16.1,Spell,7,Heal,-2.9195,1539
16.1,Spell,12,Teleport,0.1537,301
16.1,Spell,14,Ignite,-0.0733,2687
16.1,Spell,21,Barrier,0.0436,338670
16.1,Starter,1036,Long Sword,-2.4005,628
16.1,Starter,1055,Doran's Blade,0.0091,377083
16.1,Starter,1083,Cull,-3.3215,409
16.1,Boots,3006,Berserker's Greaves,-0.9125,72213
16.1,Boots,3009,Boots of Swiftness,-0.4327,2580
16.1,Boots,3047,Plated Steelcaps,1.659,65183
16.1,Boots,3111,Mercury's Treads,-0.155,21957
16.1,Boots,3158,Ionian Boots of Lucidity,-0.2633,166789
16.1,1st Item,3031,Infinity Edge,-1.4556,153
16.1,1st Item,3097,Stormrazor,-1.5753,1292
16.1,1st Item,3508,Essence Reaver,0.1331,344149
16.1,1st Item,6672,Kraken Slayer,-1.5689,5485
16.1,1st Item,6676,The Collector,-1.6571,18012
16.1,1st Item,6695,Serpent's Fang,-0.506,226
16.1,2nd Item,2512,Fiendhunter Bolts,-3.66,260
16.1,2nd Item,2523,Hexoptics C44,-5.4843,132
16.1,2nd Item,3031,Infinity Edge,0.8031,77158
16.1,2nd Item,3033,Mortal Reminder,-1.2797,1195
16.1,2nd Item,3036,Lord Dominik's Regards,-0.9571,1937
16.1,2nd Item,3071,Black Cleaver,-1.2465,205
16.1,2nd Item,3072,Bloodthirster,-7.9776,123
16.1,2nd Item,3094,Rapid Firecannon,-1.0029,5306
16.1,2nd Item,3097,Stormrazor,1.1222,5121
16.1,2nd Item,3153,Blade of The Ruined King,-2.1936,183
16.1,2nd Item,3156,Maw of Malmortius,5.42,102
16.1,2nd Item,3508,Essence Reaver,0.24,12847
16.1,2nd Item,6672,Kraken Slayer,-0.9125,1681
16.1,2nd Item,6673,Immortal Shieldbow,3.3718,105
16.1,2nd Item,6675,Navori Flickerblade,-0.2913,223480
16.1,2nd Item,6676,The Collector,0.4006,15892
16.1,2nd Item,6695,Serpent's Fang,2.5846,806
16.1,2nd Item,6699,Voltaic Cyclosword,-7.7278,164
16.1,3rd Item,2512,Fiendhunter Bolts,0.1157,231
16.1,3rd Item,2523,Hexoptics C44,-1.005,363
16.1,3rd Item,3026,Guardian Angel,0.0091,118
16.1,3rd Item,3031,Infinity Edge,0.1666,175833
16.1,3rd Item,3033,Mortal Reminder,0.9943,12340
16.1,3rd Item,3036,Lord Dominik's Regards,0.4987,23292
16.1,3rd Item,3071,Black Cleaver,0.1815,4855
16.1,3rd Item,3072,Bloodthirster,-1.6173,771
16.1,3rd Item,3094,Rapid Firecannon,-1.2683,5507
16.1,3rd Item,3097,Stormrazor,-1.5612,1044
16.1,3rd Item,3139,Mercurial Scimitar,-5.3357,139
16.1,3rd Item,3153,Blade of The Ruined King,-7.1337,236
16.1,3rd Item,3156,Maw of Malmortius,-0.7579,989
16.1,3rd Item,3508,Essence Reaver,-3.95,538
16.1,3rd Item,6672,Kraken Slayer,-5.6413,590
16.1,3rd Item,6673,Immortal Shieldbow,2.6942,867
16.1,3rd Item,6675,Navori Flickerblade,-0.6421,48804
16.1,3rd Item,6676,The Collector,-1.1232,3694
16.1,3rd Item,6694,Serylda's Grudge,-3.3815,162
16.1,3rd Item,6695,Serpent's Fang,0.2488,1007
16.1,3rd Item,6699,Voltaic Cyclosword,-2.3205,146
16.1,4th+ Item,2504,Kaenic Rookern,0.0136,343
16.1,4th+ Item,2512,Fiendhunter Bolts,-0.9862,418
16.1,4th+ Item,2517,Endless Hunger,3.2094,250
16.1,4th+ Item,2523,Hexoptics C44,-2.2746,654
16.1,4th+ Item,3026,Guardian Angel,1.6665,20540
16.1,4th+ Item,3031,Infinity Edge,-0.6606,20039
16.1,4th+ Item,3033,Mortal Reminder,-0.2068,27495
16.1,4th+ Item,3036,Lord Dominik's Regards,0.638,82091
16.1,4th+ Item,3046,Phantom Dancer,0.6154,173
16.1,4th+ Item,3065,Spirit Visage,-4.5731,155
16.1,4th+ Item,3071,Black Cleaver,-0.9235,3457
16.1,4th+ Item,3072,Bloodthirster,0.0911,34017
16.1,4th+ Item,3091,Wit's End,0.911,125
16.1,4th+ Item,3094,Rapid Firecannon,-2.9058,12498
16.1,4th+ Item,3097,Stormrazor,0.2196,1394
16.1,4th+ Item,3139,Mercurial Scimitar,-0.0638,5563
16.1,4th+ Item,3142,Youmuu's Ghostblade,0.9648,117
16.1,4th+ Item,3143,Randuin's Omen,1.0645,1010
16.1,4th+ Item,3153,Blade of The Ruined King,-3.5677,1794
16.1,4th+ Item,3156,Maw of Malmortius,0.7332,10107
16.1,4th+ Item,3157,Zhonya's Hourglass,-2.0447,152
16.1,4th+ Item,3508,Essence Reaver,-2.6407,322
16.1,4th+ Item,3814,Edge of Night,-1.661,833
16.1,4th+ Item,6333,Death's Dance,0.8627,370
