patch,category,id,name,wpa,sample_size
16.1,Keystone,8369,First Strike,0.761,40326
16.1,Keystone,8230,Stormraider's Surge,2.2127,374
16.1,Keystone,8214,Summon Aery,2.642,13861
16.1,Keystone,8360,Unsealed Spellbook,4.5108,1788
16.1,Keystone,8437,Grasp of the Undying,-18.8431,115
16.1,Keystone,8229,Arcane Comet,-2.1326,26124
16.1,Keystone,8128,Dark Harvest,-4.0769,1191
16.1,Keystone,8112,Electrocute,-1.8298,7264
16.1,Spell,1,Cleanse,-2.4574,133
16.1,Spell,3,Exhaust,0.5324,1150
16.1,Spell,4,Flash,-0.0,91281
16.1,Spell,6,Ghost,1.637,1059
16.1,Spell,12,Teleport,0.0317,81841
16.1,Spell,14,Ignite,-4.7623,2386
16.1,Spell,21,Barrier,1.5811,4696
16.1,Starter,1027,Sapphire Crystal,-3.8696,327
16.1,Starter,1054,Doran's Shield,3.5005,122
16.1,Starter,1056,Doran's Ring,0.1249,75262
16.1,Starter,1082,Dark Seal,1.4959,139
16.1,Starter,3070,Tear of the Goddess,-0.5846,14964
16.1,Boots,3009,Boots of Swiftness,-0.1758,2004
16.1,Boots,3020,Sorcerer's Shoes,0.2628,59994
16.1,Boots,3047,Plated Steelcaps,1.8459,2135
16.1,Boots,3111,Mercury's Treads,0.8066,6139
16.1,Boots,3158,Ionian Boots of Lucidity,0.8867,17138
16.1,1st Item,2065,Shurelya's Battlesong,2.7543,185
16.1,1st Item,2503,Blackfire Torch,7.5921,166
16.1,1st Item,2504,Kaenic Rookern,4.962,155
16.1,1st Item,2522,Actualizer,-5.597,342
16.1,1st Item,3003,Archangel's Staff,0.9388,7026
16.1,1st Item,3089,Rabadon's Deathcap,-4.033,138
16.1,1st Item,3118,Malignance,-6.5211,173
16.1,1st Item,3119,Winter's Approach,2.1012,173
16.1,1st Item,3152,Hextech Rocketbelt,1.8117,1070
16.1,1st Item,3157,Zhonya's Hourglass,-5.396,240
16.1,1st Item,4629,Cosmic Drive,6.6147,115
16.1,1st Item,4646,Stormsurge,0.8608,171
16.1,1st Item,6655,Luden's Echo,-0.8432,29343
16.1,1st Item,6657,Rod of Ages,0.3731,48933
