patch,category,id,name,wpa,sample_size
16.1,Keystone,8369,First Strike,-10.8178,102
16.1,Keystone,8230,Stormraider's Surge,-8.0631,118
16.1,Keystone,8214,Summon Aery,0.5544,43877
16.1,Keystone,8465,Guardian,0.4876,5658
16.1,Keystone,8360,Unsealed Spellbook,-3.3,1914
16.1,Keystone,8437,Grasp of the Undying,-2.8285,1278
16.1,Keystone,8229,Arcane Comet,-1.9725,8564
16.1,Keystone,8128,Dark Harvest,-0.2639,231
16.1,Keystone,8112,Electrocute,-3.8455,233
16.1,Keystone,8351,Glacial Augment,2.2663,1768
16.1,Spell,3,Exhaust,-0.1076,16917
16.1,Spell,4,Flash,-0.0072,63741
16.1,Spell,6,Ghost,-1.5899,124
16.1,Spell,7,Heal,0.4311,38257
16.1,Spell,12,Teleport,-2.8363,200
16.1,Spell,14,Ignite,-1.5928,8307
16.1,Spell,21,Barrier,-1.2713,151
16.1,Starter,3865,World Atlas,0.0,63873
16.1,Boots,3009,Boots of Swiftness,0.5518,4040
16.1,Boots,3020,Sorcerer's Shoes,-1.4989,1397
16.1,Boots,3047,Plated Steelcaps,0.6394,655
16.1,Boots,3111,Mercury's Treads,1.9227,999
16.1,Boots,3158,Ionian Boots of Lucidity,0.1021,53980
16.1,2nd Item,2065,Shurelya's Battlesong,-0.0363,28199
16.1,2nd Item,2503,Blackfire Torch,-2.2399,270
16.1,2nd Item,2524,Bandlepipes,0.4658,12703
16.1,2nd Item,2525,Protoplasm Harness,-4.9524,119
16.1,2nd Item,2526,Whispering Circlet,0.4276,1084
16.1,2nd Item,3002,Trailblazer,3.2469,147
16.1,2nd Item,3003,Archangel's Staff,-1.5319,3683
16.1,2nd Item,3041,Mejai's Soulstealer,0.0516,173
16.1,2nd Item,3083,Warmog's Armor,-0.9482,164
16.1,2nd Item,3107,Redemption,1.3043,2194
16.1,2nd Item,3109,Knight's Vow,2.957,145
16.1,2nd Item,3110,Frozen Heart,2.8941,418
16.1,2nd Item,3118,Malignance,-5.432,102
16.1,2nd Item,3119,Winter's Approach,1.1179,374
16.1,2nd Item,3190,Locket of the Iron Solari,2.342,1622
16.1,2nd Item,3222,Mikael's Blessing,1.4773,936
16.1,2nd Item,3504,Ardent Censer,0.1212,164
16.1,2nd Item,4005,Imperial Mandate,-0.2893,4349
16.1,2nd Item,4629,Cosmic Drive,-1.8457,321
16.1,2nd Item,6617,Moonstone Renewer,4.9657,116
16.1,2nd Item,6620,Echoes of Helia,-0.3793,390
16.1,2nd Item,6655,Luden's Echo,-1.8643,2214
16.1,2nd Item,6657,Rod of Ages,0.606,496
16.1,3rd Item,2065,Shurelya's Battlesong,0.0322,8180
16.1,3rd Item,2504,Kaenic Rookern,0.3936,180
16.1,3rd Item,2524,Bandlepipes,0.8534,6969
16.1,3rd Item,2525,Protoplasm Harness,-0.4671,446
16.1,3rd Item,2526,Whispering Circlet,-0.1174,1312
16.1,3rd Item,3002,Trailblazer,0.5912,349
16.1,3rd Item,3003,Archangel's Staff,-0.3126,3670
16.1,3rd Item,3041,Mejai's Soulstealer,0.6398,338
16.1,3rd Item,3083,Warmog's Armor,-2.8929,157
16.1,3rd Item,3102,Banshee's Veil,-0.1555,222
16.1,3rd Item,3107,Redemption,-0.051,4462
16.1,3rd Item,3109,Knight's Vow,-0.0152,511
16.1,3rd Item,3110,Frozen Heart,2.5227,591
16.1,3rd Item,3118,Malignance,-3.0095,144
16.1,3rd Item,3119,Winter's Approach,0.2909,564
16.1,3rd Item,3157,Zhonya's Hourglass,-1.166,575
16.1,3rd Item,3165,Morellonomicon,-2.1014,549
16.1,3rd Item,3190,Locket of the Iron Solari,0.238,4303
16.1,3rd Item,3222,Mikael's Blessing,-0.3641,1353
16.1,3rd Item,3504,Ardent Censer,0.9908,270
16.1,3rd Item,3742,Dead Man's Plate,-3.0334,144
16.1,3rd Item,4005,Imperial Mandate,-0.4665,11626
16.1,3rd Item,4628,Horizon Focus,-4.3473,168
16.1,3rd Item,4629,Cosmic Drive,0.4867,2151
16.1,3rd Item,4645,Shadowflame,-1.0191,212
16.1,3rd Item,6620,Echoes of Helia,0.9935,330
16.1,3rd Item,6653,Liandry's Torment,0.9054,114
16.1,3rd Item,6655,Luden's Echo,1.0937,594
16.1,3rd Item,8020,Abyssal Mask,2.0908,152
16.1,4th+ Item,2065,Shurelya's Battlesong,0.3252,2267
16.1,4th+ Item,2504,Kaenic Rookern,-1.6528,189
16.1,4th+ Item,2524,Bandlepipes,1.3323,2478
16.1,4th+ Item,2525,Protoplasm Harness,-0.7019,422
16.1,4th+ Item,2526,Whispering Circlet,1.3768,312
16.1,4th+ Item,3002,Trailblazer,1.9353,323
16.1,4th+ Item,3003,Archangel's Staff,-1.771,1149
16.1,4th+ Item,3041,Mejai's Soulstealer,2.1802,487
16.1,4th+ Item,3050,Zeke's Convergence,5.418,128
16.1,4th+ Item,3083,Warmog's Armor,-1.2619,106
16.1,4th+ Item,3089,Rabadon's Deathcap,-1.8698,197
16.1,4th+ Item,3102,Banshee's Veil,-0.8321,493
16.1,4th+ Item,3107,Redemption,-0.3619,6806
16.1,4th+ Item,3109,Knight's Vow,0.7256,994
16.1,4th+ Item,3110,Frozen Heart,1.2877,560
16.1,4th+ Item,3119,Winter's Approach,1.1515,241
16.1,4th+ Item,3137,Cryptbloom,-0.317,153
16.1,4th+ Item,3143,Randuin's Omen,4.0591,160
16.1,4th+ Item,3157,Zhonya's Hourglass,-0.2965,546
16.1,4th+ Item,3165,Morellonomicon,-0.6296,1248
16.1,4th+ Item,3190,Locket of the Iron Solari,0.3954,3244
16.1,4th+ Item,3222,Mikael's Blessing,-1.0785,1137
16.1,4th+ Item,3504,Ardent Censer,1.3325,323
16.1,4th+ Item,3742,Dead Man's Plate,-3.2187,155
16.1,4th+ Item,4005,Imperial Mandate,0.0698,4517
16.1,4th+ Item,4401,Force of Nature,-1.6887,171
16.1,4th+ Item,4628,Horizon Focus,0.068,218
16.1,4th+ Item,4629,Cosmic Drive,-0.7878,2311
16.1,4th+ Item,6617,Moonstone Renewer,1.9414,122
16.1,4th+ Item,6620,Echoes of Helia,-0.3837,214
16.1,4th+ Item,6655,Luden's Echo,-0.7618,529
16.1,4th+ Item,8020,Abyssal Mask,-1.3586,198
16.1,All Items,4646,Stormsurge,-2.9694,173
16.1,All Items,4645,Shadowflame,-1.3444,305
16.1,All Items,2526,Whispering Circlet,0.2728,2709
16.1,All Items,2522,Actualizer,-3.6352,129
16.1,All Items,6653,Liandry's Torment,-1.7851,269
16.1,All Items,2525,Protoplasm Harness,-1.1071,988
16.1,All Items,3143,Randuin's Omen,0.9607,320
16.1,All Items,3041,Mejai's Soulstealer,1.2895,998
16.1,All Items,3118,Malignance,-2.5591,304
16.1,All Items,6655,Luden's Echo,-1.162,3340
16.1,All Items,3003,Archangel's Staff,-1.0376,8504
16.1,All Items,3083,Warmog's Armor,-1.7411,427
16.1,All Items,3107,Redemption,0.0127,13471
16.1,All Items,3137,Cryptbloom,-1.8323,235
16.1,All Items,2065,Shurelya's Battlesong,-0.0006,38648
16.1,All Items,2504,Kaenic Rookern,-1.1221,404
16.1,All Items,6657,Rod of Ages,0.5148,542
16.1,All Items,3109,Knight's Vow,0.691,1653
16.1,All Items,3165,Morellonomicon,-1.2735,1881
16.1,All Items,6616,Staff of Flowing Water,2.3268,164
16.1,All Items,4628,Horizon Focus,-2.3147,409
16.1,All Items,6617,Moonstone Renewer,1.4006,323
16.1,All Items,3110,Frozen Heart,2.1767,1572
16.1,All Items,3002,Trailblazer,1.596,820
16.1,All Items,4629,Cosmic Drive,-0.2844,4795
16.1,All Items,3222,Mikael's Blessing,-0.098,3430
16.1,All Items,3157,Zhonya's Hourglass,-1.1513,1192
16.1,All Items,2503,Blackfire Torch,-2.2985,400
16.1,All Items,2524,Bandlepipes,0.6845,22157
16.1,All Items,3190,Locket of the Iron Solari,0.6637,9180
16.1,All Items,3075,Thornmail,-0.1801,123
16.1,All Items,3119,Winter's Approach,0.7291,1179
16.1,All Items,3116,Rylai's Crystal Scepter,2.4413,141
16.1,All Items,3050,Zeke's Convergence,3.3562,222
16.1,All Items,4401,Force of Nature,0.3174,255
16.1,All Items,4005,Imperial Mandate,-0.3106,20497
16.1,All Items,8020,Abyssal Mask,0.0233,370
16.1,All Items,3504,Ardent Censer,0.9469,758
16.1,All Items,3089,Rabadon's Deathcap,-0.805,301
16.1,All Items,3152,Hextech Rocketbelt,-4.7137,114
16.1,All Items,3102,Banshee's Veil,-0.2935,744
16.1,All Items,3742,Dead Man's Plate,-2.692,347
16.1,All Items,6621,Dawncore,0.1209,118
16.1,All Items,6620,Echoes of Helia,0.1046,935
16.2,Keystone,8214,Summon Aery,0.3012,50247
16.2,Keystone,8465,Guardian,1.0868,6257
16.2,Keystone,8360,Unsealed Spellbook,0.7816,1942
16.2,Keystone,8437,Grasp of the Undying,-2.4168,1418
16.2,Keystone,8229,Arcane Comet,-2.028,9797
16.2,Keystone,8128,Dark Harvest,-4.2757,189
16.2,Keystone,8112,Electrocute,4.1423,228
16.2,Keystone,8351,Glacial Augment,0.3605,1601
16.2,Spell,3,Exhaust,0.0265,18663
16.2,Spell,4,Flash,-0.0053,71807
16.2,Spell,6,Ghost,-2.0274,119
16.2,Spell,7,Heal,0.1471,44630
16.2,Spell,12,Teleport,3.6606,203
16.2,Spell,14,Ignite,-0.7408,8341
16.2,Spell,21,Barrier,-5.527,138
16.2,Starter,3865,World Atlas,-0.0,71968
16.2,Boots,3009,Boots of Swiftness,0.4754,5233
16.2,Boots,3020,Sorcerer's Shoes,-2.5235,1443
16.2,Boots,3047,Plated Steelcaps,3.2337,674
16.2,Boots,3111,Mercury's Treads,0.8415,1060
16.2,Boots,3158,Ionian Boots of Lucidity,0.2411,60722
16.2,2nd Item,2065,Shurelya's Battlesong,-0.0739,34615
16.2,2nd Item,2503,Blackfire Torch,0.5603,232
16.2,2nd Item,2524,Bandlepipes,0.3954,13256
16.2,2nd Item,2525,Protoplasm Harness,1.741,153
16.2,2nd Item,2526,Whispering Circlet,2.683,694
16.2,2nd Item,3002,Trailblazer,3.5573,152
16.2,2nd Item,3003,Archangel's Staff,-0.2242,4017
16.2,2nd Item,3041,Mejai's Soulstealer,-2.4775,311
16.2,2nd Item,3084,Heartsteel,-5.8563,122
16.2,2nd Item,3107,Redemption,1.2844,1508
16.2,2nd Item,3109,Knight's Vow,0.7094,199
16.2,2nd Item,3110,Frozen Heart,1.8782,434
16.2,2nd Item,3118,Malignance,-2.5769,108
16.2,2nd Item,3119,Winter's Approach,-0.057,560
16.2,2nd Item,3190,Locket of the Iron Solari,0.4822,1740
16.2,2nd Item,3222,Mikael's Blessing,-0.6856,1628
16.2,2nd Item,3504,Ardent Censer,-0.0313,144
16.2,2nd Item,4005,Imperial Mandate,-0.1019,4713
16.2,2nd Item,4629,Cosmic Drive,1.9994,357
16.2,2nd Item,6620,Echoes of Helia,2.212,368
16.2,2nd Item,6655,Luden's Echo,-1.434,2195
16.2,2nd Item,6657,Rod of Ages,-1.6695,458
16.2,3rd Item,2065,Shurelya's Battlesong,1.0073,8279
16.2,3rd Item,2504,Kaenic Rookern,5.6794,178
16.2,3rd Item,2524,Bandlepipes,-0.2597,11870
16.2,3rd Item,2525,Protoplasm Harness,0.377,317
16.2,3rd Item,2526,Whispering Circlet,1.2648,1219
16.2,3rd Item,3002,Trailblazer,2.2989,271
16.2,3rd Item,3003,Archangel's Staff,0.8078,4086
16.2,3rd Item,3041,Mejai's Soulstealer,-1.6844,335
16.2,3rd Item,3050,Zeke's Convergence,1.757,124
16.2,3rd Item,3102,Banshee's Veil,0.6639,233
16.2,3rd Item,3107,Redemption,-0.5889,3393
16.2,3rd Item,3109,Knight's Vow,-0.4854,750
16.2,3rd Item,3110,Frozen Heart,0.8027,551
16.2,3rd Item,3118,Malignance,-1.0136,175
16.2,3rd Item,3119,Winter's Approach,0.0923,544
16.2,3rd Item,3143,Randuin's Omen,5.0282,113
16.2,3rd Item,3157,Zhonya's Hourglass,-1.9725,566
16.2,3rd Item,3165,Morellonomicon,-0.7476,610
16.2,3rd Item,3190,Locket of the Iron Solari,0.8933,4144
16.2,3rd Item,3222,Mikael's Blessing,0.4712,1774
16.2,3rd Item,3504,Ardent Censer,3.158,125
16.2,3rd Item,3742,Dead Man's Plate,-1.2787,126
16.2,3rd Item,4005,Imperial Mandate,-0.8666,13568
16.2,3rd Item,4628,Horizon Focus,2.8302,157
16.2,3rd Item,4629,Cosmic Drive,0.212,1971
16.2,3rd Item,4645,Shadowflame,-3.1499,219
16.2,3rd Item,6617,Moonstone Renewer,5.5713,120
16.2,3rd Item,6620,Echoes of Helia,0.8189,252
16.2,3rd Item,6653,Liandry's Torment,-5.285,144
16.2,3rd Item,6655,Luden's Echo,-3.1371,513
16.2,3rd Item,8020,Abyssal Mask,-3.1642,147
16.2,4th+ Item,2065,Shurelya's Battlesong,-0.1214,2300
16.2,4th+ Item,2504,Kaenic Rookern,0.573,206
16.2,4th+ Item,2524,Bandlepipes,-0.278,6426
16.2,4th+ Item,2525,Protoplasm Harness,0.5814,378
16.2,4th+ Item,2526,Whispering Circlet,1.9687,293
16.2,4th+ Item,3002,Trailblazer,0.2024,262
16.2,4th+ Item,3003,Archangel's Staff,0.9701,1411
16.2,4th+ Item,3041,Mejai's Soulstealer,0.3933,502
16.2,4th+ Item,3050,Zeke's Convergence,-0.4723,169
16.2,4th+ Item,3083,Warmog's Armor,0.4193,102
16.2,4th+ Item,3089,Rabadon's Deathcap,-4.8233,178
16.2,4th+ Item,3102,Banshee's Veil,-1.1356,453
16.2,4th+ Item,3107,Redemption,-0.2201,5420
16.2,4th+ Item,3109,Knight's Vow,2.6126,977
16.2,4th+ Item,3110,Frozen Heart,0.4181,547
16.2,4th+ Item,3119,Winter's Approach,1.4218,242
16.2,4th+ Item,3137,Cryptbloom,-4.5924,141
16.2,4th+ Item,3143,Randuin's Omen,5.2232,128
16.2,4th+ Item,3157,Zhonya's Hourglass,0.0036,517
16.2,4th+ Item,3165,Morellonomicon,0.6023,1216
16.2,4th+ Item,3190,Locket of the Iron Solari,-0.4205,3260
16.2,4th+ Item,3222,Mikael's Blessing,-0.823,1201
16.2,4th+ Item,3504,Ardent Censer,3.8374,217
16.2,4th+ Item,3742,Dead Man's Plate,4.5263,110
16.2,4th+ Item,4005,Imperial Mandate,-0.1291,5000
16.2,4th+ Item,4628,Horizon Focus,-1.7531,142
16.2,4th+ Item,4629,Cosmic Drive,0.3375,1977
16.2,4th+ Item,6617,Moonstone Renewer,0.1118,102
16.2,4th+ Item,6620,Echoes of Helia,-0.7304,183
16.2,4th+ Item,6655,Luden's Echo,0.5932,347
16.2,4th+ Item,8020,Abyssal Mask,2.0815,215
16.2,All Items,4646,Stormsurge,-3.0098,169
16.2,All Items,4645,Shadowflame,-3.4655,317
16.2,All Items,2526,Whispering Circlet,1.8045,2206
16.2,All Items,6653,Liandry's Torment,-3.0078,301
16.2,All Items,2525,Protoplasm Harness,0.7142,848
16.2,All Items,3143,Randuin's Omen,3.9921,281
16.2,All Items,3041,Mejai's Soulstealer,-0.9907,1148
16.2,All Items,3118,Malignance,-1.5513,369
16.2,All Items,6655,Luden's Echo,-1.4851,3058
16.2,All Items,3003,Archangel's Staff,0.3961,9514
16.2,All Items,3083,Warmog's Armor,0.4928,294
16.2,All Items,3107,Redemption,-0.1214,10328
16.2,All Items,3137,Cryptbloom,-3.123,229
16.2,All Items,2065,Shurelya's Battlesong,0.1218,45199
16.2,All Items,2504,Kaenic Rookern,2.0902,434
16.2,All Items,6657,Rod of Ages,-0.7104,538
16.2,All Items,3109,Knight's Vow,1.2065,1931
16.2,All Items,3165,Morellonomicon,-0.076,1901
16.2,All Items,6616,Staff of Flowing Water,6.2865,152
16.2,All Items,4628,Horizon Focus,0.6813,319
16.2,All Items,3110,Frozen Heart,0.9682,1535
16.2,All Items,6617,Moonstone Renewer,-0.0734,316
16.2,All Items,3002,Trailblazer,1.7639,688
16.2,All Items,4629,Cosmic Drive,0.4172,4312
16.2,All Items,3222,Mikael's Blessing,-0.2755,4604
16.2,All Items,3157,Zhonya's Hourglass,-1.4394,1149
16.2,All Items,2503,Blackfire Torch,0.6237,351
16.2,All Items,2524,Bandlepipes,0.0118,31560
16.2,All Items,3190,Locket of the Iron Solari,0.3466,9146
16.2,All Items,3075,Thornmail,-4.147,104
16.2,All Items,3119,Winter's Approach,0.2692,1346
16.2,All Items,3084,Heartsteel,-6.914,142
16.2,All Items,3116,Rylai's Crystal Scepter,1.6458,174
16.2,All Items,3050,Zeke's Convergence,0.9102,331
16.2,All Items,4401,Force of Nature,-1.4318,176
16.2,All Items,4005,Imperial Mandate,-0.5534,23283
16.2,All Items,8020,Abyssal Mask,1.0408,392
16.2,All Items,3504,Ardent Censer,2.5164,486
16.2,All Items,3089,Rabadon's Deathcap,-4.3721,277
16.2,All Items,3102,Banshee's Veil,-0.4095,714
16.2,All Items,3742,Dead Man's Plate,0.9765,284
16.2,All Items,6620,Echoes of Helia,1.1029,804
